Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount,Comments
Spouse,HHDFX,Hamlin High Dividend Equity Fd Inst Cl,Purchase,07/03/2023,"$1,001 - $15,000",n/a
Spouse,SOPYX,Clearbridge Dividend Strategy Fund Class I,Purchase,07/03/2023,"$1,001 - $15,000",n/a
Spouse,PMDIX,Principal Funds Inc. Small-Midcap Dividend Inco,Sale (Partial),09/01/2023,"$1,001 - $15,000",n/a
Spouse,SOPYX,Clearbridge Dividend Strategy Fund Class I,Sale (Partial),09/01/2023,"$1,001 - $15,000",n/a
Spouse,IGFFX,International Growth and Income Fd Cl F-2 Shs,Purchase,09/01/2023,"$1,001 - $15,000",n/a
Spouse,GSFTX,Columbia Dividend Income Fund Class I,Sale (Partial),09/01/2023,"$1,001 - $15,000",n/a
Spouse,HHDFX,Hamlin High Dividend Equity Fd Inst Cl,Sale (Partial),09/01/2023,"$1,001 - $15,000",n/a
Spouse,GSFTX,Columbia Dividend Income Fund Class I,Purchase,09/22/2023,"$1,001 - $15,000",n/a
Spouse,IGFFX,International Growth and Income Fd Cl F-2 Shs,Purchase,09/25/2023,"$1,001 - $15,000",n/a
Spouse,SOPYX,Clearbridge Dividend Strategy Fund Class I,Purchase,10/02/2023,"$1,001 - $15,000",n/a
Spouse,IGFFX,International Growth and Income Fd Cl F-2 Shs,Sale (Partial),11/02/2023,"$1,001 - $15,000",n/a
Spouse,SOPYX,Clearbridge Dividend Strategy Fund Class I,Sale (Partial),11/02/2023,"$1,001 - $15,000",n/a
Spouse,GSFTX,Columbia Dividend Income Fund Class I,Sale (Partial),11/02/2023,"$1,001 - $15,000",n/a
Spouse,PMDIX,Principal Funds Inc. Small-Midcap Dividend Inco,Purchase,11/02/2023,"$1,001 - $15,000",n/a
Spouse,HHDFX,Hamlin High Dividend Equity Fd Inst Cl,Sale (Partial),11/02/2023,"$1,001 - $15,000",n/a
Spouse,GSFTX,Columbia Dividend Income Fund Class I,Purchase,12/14/2023,"$1,001 - $15,000",n/a
Spouse,GSFTX,Columbia Dividend Income Fund Class I,Purchase,12/14/2023,"$1,001 - $15,000",n/a
Spouse,PMDIX,Principal Funds Inc. Small-Midcap Dividend Inco,Purchase,12/14/2023,"$1,001 - $15,000",n/a
Spouse,IGFFX,International Growth and Income Fd Cl F-2 Shs,Purchase,12/20/2023,"$1,001 - $15,000",n/a
Spouse,SOPYX,Clearbridge Dividend Strategy Fund Class I,Purchase,12/20/2023,"$1,001 - $15,000",n/a
Spouse,HHDFX,Hamlin High Dividend Equity Fd Inst Cl,Purchase,12/29/2023,"$1,001 - $15,000",n/a
Joint,ALTVX,Ab Municipal Income Fund Inc. - National Portfo,Purchase,02/14/2023,"$15,001 - $50,000",n/a
Joint,GSFTX,Columbia Dividend Income Fund Class I,Sale (Partial),02/14/2023,"$15,001 - $50,000",n/a
Joint,MRFIX,MFS Series Trust V  - MFS Research Fund Class I,Purchase,03/14/2023,"$1,001 - $15,000",n/a
Joint,WFMIX,Allspring Special Mid Cap Value Fund Insti Class,Purchase,03/14/2023,"$1,001 - $15,000",n/a
Joint,WIAEX,Wasatch Small Cap Growth Fund Instl Cl,Purchase,03/14/2023,"$1,001 - $15,000",n/a
Joint,MADVX,Blackrock Eq Dividend I,Purchase,03/14/2023,"$1,001 - $15,000",n/a
Joint,GSFTX,Columbia Dividend Income Fund Class I,Purchase,03/14/2023,"$1,001 - $15,000",n/a
Joint,BAFGX,Brown Advisory Growth Equity Fd - Institutional,Purchase,03/14/2023,"$1,001 - $15,000",n/a
Joint,CISMX,Clarkston Partners Fund. Institutional Class,Purchase,03/14/2023,"$1,001 - $15,000",n/a
Joint,PRCOX,T. Rowe Price U.S. Equity Research Fund,Purchase,03/14/2023,"$1,001 - $15,000",n/a
Joint,WFMIX,Allspring Special Mid Cap Value Fund Insti Class,Purchase,03/20/2023,"$1,001 - $15,000",n/a
Joint,MRFIX,MFS Series Trust V  - MFS Research Fund Class I,Purchase,03/20/2023,"$1,001 - $15,000",n/a
Joint,MQGIX,MFS International Growth Fund - Class I,Purchase,03/20/2023,"$1,001 - $15,000",n/a
Joint,ALTVX,Ab Municipal Income Fund Inc. - National Portfo,Purchase,03/20/2023,"$1,001 - $15,000",n/a
Joint,TROSX,T. Rowe Price Overseas Stock Fund,Purchase,03/20/2023,"$1,001 - $15,000",n/a
Joint,ARSIX,Amg River Road Small Cap Value Fund - Class I,Purchase,03/20/2023,"$1,001 - $15,000",n/a
Joint,WIAEX,Wasatch Small Cap Growth Fund Instl Cl,Purchase,03/20/2023,"$1,001 - $15,000",n/a
Joint,CISMX,Clarkston Partners Fund. Institutional Class,Purchase,03/20/2023,"$1,001 - $15,000",n/a
