roll_number,member_full,first_name,last_name,party,state,lis_member_id,vote_cast
3,Welch (D-VT),Peter,Welch,D,VT,S422,Yea
3,Whitehouse (D-RI),Sheldon,Whitehouse,D,RI,S316,Yea
3,Wicker (R-MS),Roger,Wicker,R,MS,S318,Not Voting
3,Wyden (D-OR),Ron,Wyden,D,OR,S247,Yea
3,Young (R-IN),Todd,Young,R,IN,S391,Yea
4,Baldwin (D-WI),Tammy,Baldwin,D,WI,S354,Yea
4,Barrasso (R-WY),John,Barrasso,R,WY,S317,Yea
4,Bennet (D-CO),Michael,Bennet,D,CO,S330,Yea
4,Blackburn (R-TN),Marsha,Blackburn,R,TN,S396,Yea
4,Blumenthal (D-CT),Richard,Blumenthal,D,CT,S341,Yea
4,Booker (D-NJ),Cory,Booker,D,NJ,S370,Yea
4,Boozman (R-AR),John,Boozman,R,AR,S343,Yea
4,Braun (R-IN),Mike,Braun,R,IN,S397,Yea
4,Britt (R-AL),Katie,Britt,R,AL,S416,Yea
4,Brown (D-OH),Sherrod,Brown,D,OH,S307,Yea
4,Budd (R-NC),Ted,Budd,R,NC,S417,Yea
4,Cantwell (D-WA),Maria,Cantwell,D,WA,S275,Yea
4,Capito (R-WV),Shelley,Capito,R,WV,S372,Yea
4,Cardin (D-MD),Ben,Cardin,D,MD,S308,Yea
4,Carper (D-DE),Thomas,Carper,D,DE,S277,Yea
4,Casey (D-PA),Bob,Casey,D,PA,S309,Yea
4,Cassidy (R-LA),Bill,Cassidy,R,LA,S373,Yea
4,Collins (R-ME),Susan,Collins,R,ME,S252,Yea
4,Coons (D-DE),Christopher,Coons,D,DE,S337,Yea
4,Cornyn (R-TX),John,Cornyn,R,TX,S287,Yea
4,Cortez Masto (D-NV),Catherine,Cortez Masto,D,NV,S385,Yea
4,Cotton (R-AR),Tom,Cotton,R,AR,S374,Yea
4,Cramer (R-ND),Kevin,Cramer,R,ND,S398,Yea
4,Crapo (R-ID),Mike,Crapo,R,ID,S266,Yea
4,Cruz (R-TX),Ted,Cruz,R,TX,S355,Yea
4,Daines (R-MT),Steve,Daines,R,MT,S375,Yea
4,Duckworth (D-IL),Tammy,Duckworth,D,IL,S386,Yea
4,Durbin (D-IL),Richard,Durbin,D,IL,S253,Yea
4,Ernst (R-IA),Joni,Ernst,R,IA,S376,Yea
4,Feinstein (D-CA),Dianne,Feinstein,D,CA,S221,Yea
4,Fetterman (D-PA),John,Fetterman,D,PA,S418,Yea
4,Fischer (R-NE),Deb,Fischer,R,NE,S357,Yea
4,Gillibrand (D-NY),Kirsten,Gillibrand,D,NY,S331,Yea
4,Graham (R-SC),Lindsey,Graham,R,SC,S293,Yea
4,Grassley (R-IA),Chuck,Grassley,R,IA,S153,Yea
4,Hagerty (R-TN),Bill,Hagerty,R,TN,S407,Yea
4,Hassan (D-NH),Maggie,Hassan,D,NH,S388,Yea
4,Hawley (R-MO),Josh,Hawley,R,MO,S399,Yea
4,Heinrich (D-NM),Martin,Heinrich,D,NM,S359,Yea
4,Hickenlooper (D-CO),John,Hickenlooper,D,CO,S408,Yea
4,Hirono (D-HI),Mazie,Hirono,D,HI,S361,Yea
4,Hoeven (R-ND),John,Hoeven,R,ND,S344,Yea
4,Hyde-Smith (R-MS),Cindy,Hyde-Smith,R,MS,S395,Yea
4,Johnson (R-WI),Ron,Johnson,R,WI,S345,Yea
4,Kaine (D-VA),Timothy,Kaine,D,VA,S362,Yea
