Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount
Child,DGRO,iShares Core Dividend Growth ETF,Purchase,11/14/2023,"$1,001 - $15,000"
Child,GIBIX,Guggenheim Total Return Bond Fund- Institutional,Purchase,12/11/2023,"$1,001 - $15,000"
Child,DGRO,iShares Core Dividend Growth ETF,Purchase,12/12/2023,"$1,001 - $15,000"
Child,AUNYX,Ab Bond Fund Inc. - Ab Municipal Bond Inflation,Sale (Full),03/14/2023,"$1,001 - $15,000"
Child,MAMTX,Blackrock Strategic Municipal Opportunities Fund,Sale (Full),03/14/2023,"$1,001 - $15,000"
Child,FIWDX,Fidelity Advisor Strategic Income Fund Class Z,Sale (Full),03/14/2023,"$1,001 - $15,000"
Child,TSCSX,Thrivent Small Cap Stock Fund Class S,Sale (Partial),03/14/2023,"$1,001 - $15,000"
Child,GSDUX,Goldman Sachs Short Duration Tax Free Fund Insti,Purchase,03/14/2023,"$1,001 - $15,000"
Child,PLSRX,Pacific Funds Strategic Income - Class I,Purchase,03/14/2023,"$1,001 - $15,000"
Child,TFEBX,The Tax-Exempt Bond Fund of America - Class F-3,Purchase,03/14/2023,"$1,001 - $15,000"
Child,VGISX,Virtus Duff & Phelps Global Real Estate Securiti,Purchase,03/14/2023,"$1,001 - $15,000"
Child,DGRO,iShares Core Dividend Growth ETF,Purchase,03/14/2023,"$1,001 - $15,000"
Child,HIGFX,American High-Income Trust - Class F-3,Purchase,12/28/2023,"$1,001 - $15,000"
Self,BSBIX,Baird Short Term Bond Fund Institutional Class,Purchase,02/17/2023,"$1,001 - $15,000"
Self,FTHSX,Fuller & Thaler Behavioral Small-Cap Equity Fund,Sale (Partial),02/17/2023,"$1,001 - $15,000"
Self,PIMSX,Virtus Newfleet Multi-Sector Short Term Bond Fun,Sale (Full),02/17/2023,"$1,001 - $15,000"
Self,VWIUX,Vanguard Intermediate-Term Tax-Exempt Fd Admiral,Purchase,02/17/2023,"$1,001 - $15,000"
Self,FSGGX,Fidelity Global Ex U.S. Index Fund,Sale (Full),05/02/2023,"$1,001 - $15,000"
Self,CNSFX,Invesco Convertible Securities Fund Cl R6,Sale (Full),05/02/2023,"$1,001 - $15,000"
Self,BIOIX,Baron Opportunity Fund Inst Shs,Sale (Full),05/02/2023,"$1,001 - $15,000"
Self,FTHSX,Fuller & Thaler Behavioral Small-Cap Equity Fund,Sale (Full),05/02/2023,"$1,001 - $15,000"
Self,CSSPX,Cohen & Steers Global Realty Shares Inc Class I,Sale (Full),05/02/2023,"$1,001 - $15,000"
Self,GERIX,Goldman Sachs Emerging Mkts Equity Insight Fd IN,Sale (Full),05/02/2023,"$1,001 - $15,000"
